"filename", "language", "TypeScript", "JSON with Comments", "TypeScript React", "XML", "CSS", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header-settings.styles.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header.styles.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\home-components.tsx", "TypeScript React", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 15, 113
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\home-landing-page.tsx", "TypeScript React", 0, 0, 80, 0, 0, 0, 0, 0, 0, 3, 14, 97
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\landing-page.styles.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Jamify.tsx", "TypeScript React", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist-albums.tsx", "TypeScript React", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 14, 93
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist-component.tsx", "TypeScript React", 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 10, 52
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist-content-component.tsx", "TypeScript React", 0, 0, 138, 0, 0, 0, 0, 0, 0, 2, 21, 161
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist-tracks-table.tsx", "TypeScript React", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 19, 146
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist.styles.ts", "TypeScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 145
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\fontFamily.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\image-tint.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\top-artist-component.tsx", "TypeScript React", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 24, 181
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\dashboard\dashboard-component.tsx", "TypeScript React", 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 17, 123
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\dashboard\dashboard-landing-page.tsx", "TypeScript React", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 9, 105
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\dashboard\dashboard-styles.ts", "TypeScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 108
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\dashboard\fontFamily.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\errors\not-found-component.tsx", "TypeScript React", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\carousel-items.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\explore-component.tsx", "TypeScript React", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 27, 160
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\explore-genre-playlists.tsx", "TypeScript React", 0, 0, 177, 0, 0, 0, 0, 0, 0, 1, 20, 198
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\explore-relative-routes.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 5, 28
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\explore.styles.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\mapped-genre-artists.tsx", "TypeScript React", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 12, 73
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\mapped-genre-playlists.tsx", "TypeScript React", 0, 0, 64, 0, 0, 0, 0, 0, 0, 1, 14, 79
"c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\mapped-genres.tsx", "TypeScript React", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 10, 70
